"Um eine möglichst effiziente, automatisierte Verarbeitung der Prozesse zu gewährleisten, wird – soweit möglich – beim elektronischen Datenaustausch eine Identifizierung bestimmter Informationen durch Codes vorgenommen.
Zu diesem Zweck vergibt DB Energie im Auftrag des BDEW die MP-ID/Codenummer für die Anschlussnutzer sowie bei Bedarf den Dienstleistern der Nutzer. Darüber hinaus können Netzbetreiber, Lieferanten und BKV im Rahmen einer Interimslösung eine neben der BDEW-Codenummer zusätzliche MP-ID/Codenummer für die jeweilige Marktrolle bei DB Energie beantragen. Die unten aufgeführten MP-ID gelten ausschließlich im Bahnstromnetz.";
;
ANu-vEns (Nutzer) im Bahnstromnetz;
Unternehmensname;MP-ID/Codenummer im Bahnstromnetz
Raildox GmbH & Co.KG;1900100401042
Erfurter Bahnservice Gesellschaft mbH;1900100401050
ELV - Eisenbahnlogistik Vienenburg;1900100401068
Eisenbahngesellschaft Potsdam mbH;1900100401076
ecco rail GmbH;1900100401084
CER Cargo Traction GmbH;1900100401092
Schweerbau Logistik GmbH;1900100401109
Maik Ampft Eisenbahndienstleistungen;1900100401125
Bayerischer Localbahn Verein e.V.;1900100401133
LINEAS NV/SA;1900100401141
Locon Logistik & Consulting AG;1900100401159
IGT - Inbetriebnahme Gesellschaft Transporttechnik GmbH;1900100401167
Saar Rail GmbH;1900100401175
Thurbo AG;1900100401183
Vulkan-Eifel-Bahn Betriebsgesellschaft mbH;1900100401191
Nordlandrail GmbH;1900100401208
Arbeitsgemeinschaft NostalgieZugReisen.de;1900100401216
DeltaRail GmbH;1900100401224
Georg Verkehrsorganisation GmbH;1900100401232
IntEgro Verkehr GmbH;1900100401240
Gesellschaft zur Erhaltung von Schienenfahrzeugen Stuttgart e.V.;1900100401258
Siemens AG;1900100401266
SETG - Salzburger Eisenbahn TransportLogistik GmbH;1900100401274
KombiRail Europe B.V.;1900100401282
SWEG Südwestdeutsche Landesverkehrs-GmbH;1900100401290
SNCFL Société Nationale des Chemins de Fer Luxembourgeois;1900100401307
e.g.o.o. Eisenbahngesellschaft Ostfriesland-Oldenburg mbH;1900100401315
SBB AG;1900100401323
ESG Eisenbahn Service Gesellschaft mbH;1900100401331
Rotterdam Rail Feeding B.V.;1900100401349
Bocholter Eisenbahngesellschaft mbH;1900100401357
Centralbahn AG;1900100401365
CTL Logistics GmbH;1900100401373
ERS Railways B.V.;1900100401381
GfE Ges. für Eisenbahnbetrieb mbH;1900100401399
ÖBB-Personenverkehr AG;1900100401406
InfraLeuna GmbH;1900100401414
Rail 4U - Eisenbahndienstleistungen;1900100401422
Eichholz Eivel GmbH;1900100401430
Cargo Logistik Rail Service GmbH;1900100401448
MEV Eisenbahn-Verkehrsgesellschaft mbH;1900100401456
Traditionsgemeinschaft Bw Halle P e.V.;1900100401464
Rail Cargo Austria AG;1900100401472
LTE Netherlands B.V.;1900100401480
Eisenbahn-Bau- und Betriebsgesellschaft Pressnitztalbahn mbH;1900100401498
ORLEN Kolej sp. z o.o.;1900100401505
TRI Train Rental GmbH;1900100401513
Locon Benelux B.V.;1900100401521
northrail Fahrzeugverwaltungs GmbH;1900100401539
BLS Cargo AG;1900100401547
BayernBahn GmbH;1900100401555
Retrack Germany GmbH;1900100401563
Bahnwelt Betriebs-GmbH;1900100401571
