source_system;source_field;source_value;role_code;official_company_name;market_partner_id;active_flag;match_method;match_score;manual_review;comment
RailCube/DataLake;Company name;Eisenbahn-Bau- und Betriebsgesellschaft Pressnitztalbahn mbH;ANU_VENS;Eisenbahn-Bau- und Betriebsgesellschaft Pressnitztalbahn mbH;1900100301490;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;ORLEN KolTrans Sp. z o.o.;ANU_VENS;ORLEN Kolej sp. z o.o.;1900100301507;N;PROPOSED_LOW;83.7;Y;
RailCube/DataLake;Company name;Train 4 Train;ANU_VENS;TRI Train Rental GmbH;1900100301515;N;PROPOSED_MEDIUM;83.3;Y;
RailCube/DataLake;Company name;Locon Benelux B.V.;ANU_VENS;Locon Benelux B.V.;1900100301523;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;FVD - Fahrzeug-Vermietung Duisburg GmbH;ANU_VENS;northrail Fahrzeugverwaltungs GmbH;1900100301531;N;PROPOSED_LOW;62.7;Y;
RailCube/DataLake;Company name;BLS Cargo AG;ANU_VENS;BLS Cargo AG;1900100301549;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Saarbahn GmbH;ANU_VENS;BayernBahn GmbH;1900100301557;N;PROPOSED_LOW;78.6;Y;
RailCube/DataLake;Company name;Retrack Germany Gmbh;ANU_VENS;Retrack Germany GmbH;1900100301565;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;S-Bahn Berlin GmbH;ANU_VENS;Bahnwelt Betriebs-GmbH;1900100301573;N;PROPOSED_LOW;75.0;Y;
RailCube/DataLake;Company name;Alstom Transportation Germany GmbH;ANU_VENS;ALSTOM Transportation Germany GmbH;1900100301581;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Freightliner DE GmbH;ANU_VENS;Freightliner DE GmbH;1900100301599;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;BLG RailTec GmbH;ANU_VENS;BLG RailTec GmbH;1900100301606;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;LokoTrain s. r. o.;ANU_VENS;LokoTrain s.r.o.;1900100301614;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;DB Cargo AG.;ANU_VENS;DB Cargo AG;1900100301622;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;D und D Eisenbahngesellschaft mbH;ANU_VENS;Falkenberger Eisenbahngesellschaft mbH;1900100301630;N;PROPOSED_LOW;95.5;Y;
RailCube/DataLake;Company name;Société Nationale des Chemins de Fer Tunisiens;ANU_VENS;SNCF Societé Nationale des Chemins de Fer Français;1900100301648;N;PROPOSED_MEDIUM;87.8;Y;
RailCube/DataLake;Company name;DB Regio AG..;ANU_VENS;DB Regio AG;1900100301656;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;S-Rail GmbH;ANU_VENS;S-Rail GmbH;1900100301664;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;STEIERMARKBAHN Transport und Logistik GmbH;ANU_VENS;Steiermarkbahn Transport & Logistik GmbH;1900100301672;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;CargoService GmbH;ANU_VENS;Cargo Service GmbH;1900100301680;N;PROPOSED_HIGH;97.1;Y;
RailCube/DataLake;Company name;SNCF Voyages Deutschland GmbH;ANU_VENS;SNCF Voyages Deutschland GmbH;1900100301698;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;PKP Intercity S.A.;ANU_VENS;PKP Intercity S.A.;1900100301705;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Online Cargo Deutschland;ANU_VENS;CD Cargo a.s. Niederlassung Deutschland;1900100301713;N;PROPOSED_LOW;82.9;Y;
RailCube/DataLake;Company name;Green Cargo AB;ANU_VENS;Green Cargo AB;1900100301721;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Société Nationale des Chemins de Fer Tunisiens;ANU_VENS;SNCB (Société nationale des chemins de fer belges);1900100301739;N;PROPOSED_MEDIUM;87.8;Y;
RailCube/DataLake;Company name;Hessische Güterbahn GmbH;ANU_VENS;HGB-Hessische Güterbahn GmbH;1900100301747;N;PROPOSED_HIGH;100.0;Y;
RailCube/DataLake;Company name;Wedler Franz Logistik GmbH & Co.KG;ANU_VENS;Wedler Franz Logistik GmbH & Co. KG;1900100301755;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;TRIANGULA Logistik GmbH;ANU_VENS;TRIANGULA Logistik GmbH;1900100301763;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Rekers Betonwerk GmbH & Co. KG;ANU_VENS;EURO-EXPRESS Sonderzüge GmbH & Co. KG;1900100301771;N;PROPOSED_LOW;69.6;Y;
RailCube/DataLake;Company name;;ANU_VENS;Lausitzer Dampflok Club e.V.;1900100301789;N;NO_RELIABLE_CANDIDATE;53.3;Y;
RailCube/DataLake;Company name;Europorte France;ANU_VENS;EUROPORTE France;1900100301797;Y;AUTO_EXACT;100.0;N;
